
=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

ID : 3 | PUSHED : -1489489629
ID : 0 | PUSHED : 2096263476

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

ID : 2 | PUSHED : -218329542

ID : 0 | PUSHED : 1796697536

ID : 3 | PUSHED : 655239808

ID : 1 | PUSHED : 1615909247

ID : 3 | PUSHED : -121183981

ID : 4 | PUSHED : 678260048

ID : 4 | PUSHED : -372481280

ID : 4 | PUSHED : 198950300

ID : 3 | PUSHED : 2085714449

ID : 3 | PUSHED : 837509610

ID : 3 | PUSHED : -2034889118

ID : 3 | PUSHED : 1164575799

ID : 4 | PUSHED : 1469879486

ID : 3 | PUSHED : 1160691424

ID : 4 | PUSHED : -2094755493

ID : 3 | PUSHED : 1260546586

ID : 4 | PUSHED : -240514513

ID : 3 | PUSHED : 537004703

ID : 4 | PUSHED : 471577499

ID : 3 | PUSHED : 1359405781

ID : 4 | PUSHED : -436330244

ID : 4 | PUSHED : -185208539

ID : 4 | PUSHED : -922480143

=========== Consumer Producer Part.===============

ID : 1 | PUSHED : -1456788718

ID : 4 | PUSHED : -454657385

ID : 0 | PUSHED : -951556641

=========== Consumer Producer Part.===============

ID : 0 | PUSHED : 367158725

ID : 3 | PUSHED : -1946020621

ID : 4 | PUSHED : -189919372

ID : 2 | PUSHED : -1435653641

ID : 2 | PUSHED : -946260301

ID : 1 | PUSHED : -290819911

ID : 0 | PUSHED : 959050156

ID : 2 | PUSHED : 1466133346

ID : 1 | PUSHED : 1208041072

ID : 0 | PUSHED : 618087449

ID : 0 | PUSHED : 978463599

ID : 0 | PUSHED : -1184858430

ID : 2 | PUSHED : -1917230796

ID : 1 | PUSHED : -1491198851

ID : 0 | PUSHED : 1032589358

ID : 2 | PUSHED : -320367106

ID : 1 | PUSHED : -1809523834

ID : 0 | PUSHED : 31222369

ID : 2 | PUSHED : 1256737300

ID : 1 | PUSHED : 440341717

ID : 0 | PUSHED : 2124431243

ID : 2 | PUSHED : 866777131

ID : 1 | PUSHED : 630956722

ID : 0 | PUSHED : -643155881

ID : 2 | PUSHED : 1595272613

ID : 1 | PUSHED : 444682519

ID : 0 | PUSHED : 558746360

ID : 2 | PUSHED : 437527356

ID : 2 | PUSHED : 672817591

ID : 1 | PUSHED : 1081086644

ID : 1 | PUSHED : -1090453984

ID : 1 | PUSHED : 2009397800

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

ID : 3 | PUSHED : 2068086025

ID : 2 | PUSHED : -173520703

ID : 4 | PUSHED : -1731619861

=========== Consumer Producer Part.===============

ID : 4 | PUSHED : -985351232

ID : 3 | PUSHED : 919581226

ID : 4 |  POPPED : -985351232

ID : 0 |  POPPED : 919581226

ID : 1 | PUSHED : 153452355

ID : 1 |  POPPED : 153452355

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

ID : 3 | PUSHED : -1322058727

ID : 4 |  POPPED : -1322058727

=========== Consumer Producer Part.===============

ID : 2 | PUSHED : 1491504544

ID : 3 |  POPPED : 1491504544

=========== Consumer Producer Part.===============

ID : 1 | PUSHED : -1707799049

ID : 3 |  POPPED : -1707799049

ID : 0 | PUSHED : 12410360

ID : 0 |  POPPED : 12410360

ID : 2 | PUSHED : 505977185

ID : 4 | PUSHED : 684556219

ID : 4 |  POPPED : 684556219

ID : 3 | PUSHED : -543403287

ID : 2 |  POPPED : -543403287

ID : 1 |  POPPED : 505977185

=========== Consumer Producer Part.===============

ID : 1 | PUSHED : -22797052

ID : 3 | PUSHED : -125478249

ID : 2 | PUSHED : 2040990244

ID : 4 |  POPPED : -125478249

ID : 3 |  POPPED : 2040990244

ID : 0 | PUSHED : -605573527

ID : 1 |  POPPED : -605573527

ID : 0 |  POPPED : -22797052

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

ID : 0 | PUSHED : 1001009810

ID : 2 | PUSHED : -1021517655

ID : 4 |  POPPED : 1001009810

ID : 4 |  POPPED : -1021517655

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

ID : 4 | PUSHED : 2134327269

ID : 0 | PUSHED : 596392530

ID : 2 |  POPPED : 2134327269

ID : 0 |  POPPED : 596392530

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

ID : 4 | PUSHED : -1930464737

ID : 2 |  POPPED : -1930464737

ID : 1 | PUSHED : 840379883

ID : 1 |  POPPED : 840379883

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

ID : 0 | PUSHED : 842195565

ID : 2 | PUSHED : -266735715

ID : 1 | PUSHED : 1600808111

=========== Consumer Producer Part.===============

ID : 1 | PUSHED : 890970290

ID : 2 |  POPPED : 890970290

ID : 2 | PUSHED : -1998892103

ID : 3 | PUSHED : 819270380

ID : 1 |  POPPED : 819270380

ID : 4 |  POPPED : -1998892103

ID : 4 | PUSHED : -58031045

ID : 0 |  POPPED : -58031045

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

ID : 0 | PUSHED : -251852859

ID : 0 |  POPPED : -251852859

ID : 1 | PUSHED : 1631086991

ID : 1 |  POPPED : 1631086991

ID : 3 | PUSHED : -917365288

ID : 2 | PUSHED : -495223357

ID : 2 |  POPPED : -495223357

ID : 3 |  POPPED : -917365288

ID : 4 | PUSHED : -1116355284

ID : 4 |  POPPED : -1116355284

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

ID : 0 | PUSHED : -896782301

ID : 0 |  POPPED : -896782301

ID : 3 | PUSHED : -1991821985

ID : 1 | PUSHED : -683768380

ID : 3 |  POPPED : -683768380

ID : 2 | PUSHED : 501880936

ID : 4 |  POPPED : 501880936

ID : 4 | PUSHED : -331442691

ID : 4 | PUSHED : -1150026383

=========== Consumer Producer Part.===============

ID : 3 | PUSHED : -1144123481

ID : 1 | PUSHED : 601599783

ID : 2 |  POPPED : 601599783

ID : 4 | PUSHED : -949229628

ID : 0 |  POPPED : -949229628

ID : 4 |  POPPED : -1144123481

ID : 0 | PUSHED : -1622688431

ID : 1 |  POPPED : -1622688431

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

ID : 2 | PUSHED : -532879662

ID : 3 | PUSHED : -1732856515

ID : 3 |  POPPED : -532879662

ID : 1 |  POPPED : -1732856515

ID : 1 | PUSHED : 808842595

ID : 0 | PUSHED : 2079753549

ID : 4 |  POPPED : 2079753549

ID : 2 |  POPPED : 808842595

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

ID : 3 | PUSHED : 155893235

ID : 1 | PUSHED : 558794762

ID : 2 | PUSHED : 1258510756

ID : 4 |  POPPED : 155893235

ID : 1 |  POPPED : 558794762

ID : 0 |  POPPED : 1258510756

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

ID : 3 | PUSHED : 753240299

ID : 0 |  POPPED : 753240299

=========== Consumer Producer Part.===============

ID : 4 | PUSHED : -2051912375

ID : 1 |  POPPED : -2051912375

ID : 1 | PUSHED : 238643134

ID : 2 | PUSHED : -1919295602

ID : 0 |  POPPED : -1919295602

ID : 3 |  POPPED : -99150956

ID : 0 | PUSHED : -99150956

ID : 4 |  POPPED : 238643134

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

=========== Consumer Producer Part.===============

ID : 0 | PUSHED : -1463240095

=========== Consumer Producer Part.===============

ID : 0 | PUSHED : -2098171788
